"Time (s) Run #19","Angle, 004-000 (rad) Run #19"
0.000,0.000
0.050,0.003
0.100,0.006
0.150,0.009
0.200,0.013
0.250,0.016
0.300,0.019
0.350,0.022
0.400,0.031
0.450,0.041
0.500,0.050
0.550,0.063
0.600,0.072
0.650,0.088
0.700,0.101
0.750,0.116
0.800,0.132
0.850,0.148
0.900,0.167
0.950,0.182
1.000,0.198
1.050,0.217
1.100,0.232
1.150,0.248
1.200,0.264
1.250,0.280
1.300,0.292
1.350,0.305
1.400,0.317
1.450,0.327
1.500,0.336
1.550,0.346
1.600,0.349
1.650,0.355
1.700,0.358
1.750,0.361
1.800,0.361
1.850,0.358
1.900,0.358
1.950,0.352
2.000,0.346
2.050,0.339
2.100,0.333
2.150,0.324
2.200,0.314
2.250,0.302
2.300,0.292
2.350,0.280
2.400,0.267
2.450,0.254
2.500,0.242
2.550,0.229
2.600,0.220
2.650,0.207
2.700,0.195
2.750,0.185
2.800,0.176
2.850,0.170
2.900,0.160
2.950,0.154
3.000,0.151
3.050,0.148
3.100,0.145
3.150,0.145
3.200,0.145
3.250,0.148
3.300,0.151
3.350,0.157
3.400,0.163
3.450,0.173
3.500,0.182
3.550,0.192
3.600,0.204
3.650,0.217
3.700,0.232
3.750,0.245
3.800,0.261
3.850,0.276
3.900,0.292
3.950,0.308
4.000,0.324
4.050,0.339
4.100,0.355
4.150,0.371
4.200,0.383
4.250,0.399
4.300,0.412
4.350,0.421
4.400,0.434
4.450,0.443
4.500,0.449
4.550,0.456
4.600,0.459
4.650,0.462
4.700,0.462
4.750,0.462
4.800,0.462
4.850,0.459
4.900,0.456
4.950,0.446
5.000,0.440
5.050,0.430
5.100,0.421
5.150,0.412
5.200,0.402
5.250,0.390
5.300,0.377
5.350,0.364
5.400,0.352
5.450,0.339
5.500,0.327
5.550,0.317
5.600,0.305
5.650,0.292
5.700,0.283
5.750,0.276
5.800,0.267
5.850,0.261
5.900,0.254
5.950,0.251
6.000,0.248
6.050,0.245
6.100,0.245
6.150,0.245
6.200,0.248
6.250,0.254
6.300,0.258
6.350,0.267
6.400,0.273
6.450,0.283
6.500,0.292
6.550,0.305
6.600,0.317
6.650,0.330
6.700,0.342
6.750,0.355
6.800,0.371
6.850,0.383
6.900,0.399
6.950,0.412
7.000,0.424
7.050,0.440
7.100,0.452
7.150,0.462
7.200,0.474
7.250,0.484
7.300,0.493
7.350,0.500
7.400,0.506
7.450,0.509
7.500,0.512
7.550,0.515
7.600,0.515
7.650,0.512
7.700,0.512
7.750,0.509
7.800,0.503
7.850,0.496
7.900,0.487
7.950,0.478
8.000,0.468
8.050,0.459
8.100,0.449
8.150,0.437
8.200,0.424
8.250,0.412
8.300,0.402
8.350,0.390
8.400,0.380
8.450,0.368
8.500,0.358
8.550,0.349
8.600,0.339
8.650,0.330
8.700,0.324
8.750,0.317
8.800,0.314
8.850,0.311
8.900,0.308
8.950,0.308
9.000,0.308
9.050,0.308
9.100,0.311
9.150,0.317
9.200,0.320
9.250,0.327
9.300,0.336
9.350,0.346
9.400,0.355
9.450,0.364
9.500,0.374
9.550,0.386
9.600,0.399
9.650,0.412
9.700,0.424
9.750,0.437
9.800,0.446
9.850,0.459
9.900,0.471
9.950,0.481
10.000,0.493
10.050,0.503
10.100,0.509
10.150,0.518
10.200,0.525
10.250,0.531
10.300,0.534
10.350,0.537
10.400,0.540
10.450,0.540
10.500,0.540
10.550,0.537
10.600,0.534
10.650,0.531
10.700,0.525
10.750,0.518
10.800,0.512
10.850,0.503
10.900,0.493
10.950,0.484
11.000,0.474
11.050,0.465
11.100,0.456
11.150,0.443
11.200,0.434
11.250,0.424
11.300,0.415
11.350,0.408
11.400,0.399
11.450,0.393
11.500,0.386
11.550,0.380
11.600,0.374
11.650,0.371
11.700,0.371
11.750,0.368
11.800,0.368
11.850,0.368
11.900,0.371
11.950,0.374
12.000,0.380
12.050,0.386
12.100,0.393
12.150,0.402
12.200,0.408
12.250,0.418
12.300,0.430
12.350,0.440
12.400,0.452
12.450,0.462
12.500,0.474
12.550,0.487
12.600,0.496
12.650,0.509
12.700,0.518
12.750,0.531
12.800,0.540
12.850,0.550
12.900,0.559
12.950,0.565
13.000,0.572
13.050,0.578
13.100,0.584
13.150,0.587
13.200,0.591
13.250,0.591
13.300,0.591
13.350,0.591
13.400,0.591
13.450,0.587
13.500,0.584
13.550,0.578
13.600,0.572
13.650,0.565
13.700,0.559
13.750,0.550
13.800,0.543
13.850,0.534
13.900,0.528
13.950,0.518
14.000,0.509
14.050,0.503
14.100,0.493
14.150,0.487
14.200,0.481
14.250,0.474
14.300,0.468
14.350,0.465
14.400,0.462
14.450,0.459
14.500,0.459
14.550,0.456
14.600,0.456
14.650,0.459
14.700,0.462
14.750,0.468
14.800,0.471
14.850,0.481
14.900,0.487
14.950,0.493
15.000,0.503
15.050,0.512
15.100,0.522
15.150,0.531
15.200,0.543
15.250,0.553
15.300,0.562
15.350,0.575
15.400,0.587
15.450,0.597
15.500,0.609
15.550,0.619
15.600,0.625
15.650,0.635
15.700,0.644
15.750,0.650
15.800,0.657
15.850,0.663
15.900,0.666
15.950,0.669
16.000,0.669
16.050,0.669
16.100,0.669
16.150,0.669
16.200,0.666
16.250,0.663
16.300,0.657
16.350,0.650
16.400,0.647
16.450,0.641
16.500,0.635
16.550,0.625
16.600,0.619
16.650,0.609
16.700,0.603
16.750,0.597
16.800,0.587
16.850,0.581
16.900,0.575
16.950,0.569
17.000,0.565
17.050,0.559
17.100,0.556
17.150,0.556
17.200,0.553
17.250,0.553
17.300,0.553
17.350,0.553
17.400,0.556
17.450,0.559
17.500,0.562
17.550,0.569
17.600,0.575
17.650,0.581
17.700,0.587
17.750,0.597
17.800,0.606
17.850,0.616
17.900,0.625
17.950,0.635
18.000,0.644
18.050,0.653
18.100,0.666
18.150,0.675
18.200,0.685
18.250,0.694
18.300,0.701
